"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 21530848, SEN S/N: 21530848)"	"Acoplador separado (LGR S/N: 21530848, SEN S/N: 21530848)"	"Acoplador adjunto (LGR S/N: 21530848, SEN S/N: 21530848)"	"Host conectado (LGR S/N: 21530848, SEN S/N: 21530848)"	"Parado (LGR S/N: 21530848, SEN S/N: 21530848)"	"Final de archivo (LGR S/N: 21530848, SEN S/N: 21530848)"
1	09/09/25	11:00:00	25.162	Registrado				
2	09/09/25	11:30:00	25.720					
3	09/09/25	12:00:00	17.225					
4	09/09/25	12:30:00	16.868					
5	09/09/25	13:00:00	16.296					
6	09/09/25	13:30:00	16.701					
7	09/09/25	14:00:00	17.368					
8	09/09/25	14:30:00	16.844					
9	09/09/25	15:00:00	16.892					
10	09/09/25	15:30:00	16.844					
11	09/09/25	16:00:00	16.915					
12	09/09/25	16:30:00	17.011					
13	09/09/25	17:00:00	17.153					
14	09/09/25	17:30:00	17.177					
15	09/09/25	18:00:00	17.724					
16	09/09/25	18:30:00	17.605					
17	09/09/25	19:00:00	17.582					
18	09/09/25	19:30:00	16.868					
19	09/09/25	20:00:00	16.773					
20	09/09/25	20:30:00	16.701					
21	09/09/25	21:00:00	16.487					
22	09/09/25	21:30:00	16.558					
23	09/09/25	22:00:00	16.368					
24	09/09/25	22:30:00	16.106					
25	09/09/25	23:00:00	16.320					
26	09/09/25	23:30:00	16.820					
27	10/09/25	00:00:00	17.034					
28	10/09/25	00:30:00	17.011					
29	10/09/25	01:00:00	16.820					
30	10/09/25	01:30:00	16.725					
31	10/09/25	02:00:00	16.677					
32	10/09/25	02:30:00	17.486					
33	10/09/25	03:00:00	17.558					
34	10/09/25	03:30:00	17.558					
35	10/09/25	04:00:00	17.011					
36	10/09/25	04:30:00	16.511					
37	10/09/25	05:00:00	17.058					
38	10/09/25	05:30:00	17.368					
39	10/09/25	06:00:00	17.249					
40	10/09/25	06:30:00	17.130					
41	10/09/25	07:00:00	17.058					
42	10/09/25	07:30:00	16.987					
43	10/09/25	08:00:00	16.868					
44	10/09/25	08:30:00	17.130					
45	10/09/25	09:00:00	17.201					
46	10/09/25	09:30:00	17.486					
47	10/09/25	10:00:00	17.772					
