"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 21778999, SEN S/N: 21778999, LBL: Porros_10m_09042025)"	"Acoplador separado (LGR S/N: 21778999, SEN S/N: 21778999)"	"Acoplador adjunto (LGR S/N: 21778999, SEN S/N: 21778999)"	"Host conectado (LGR S/N: 21778999, SEN S/N: 21778999)"	"Parado (LGR S/N: 21778999, SEN S/N: 21778999)"	"Final de archivo (LGR S/N: 21778999, SEN S/N: 21778999)"
1	09/04/25	12:00:00	16.296	Registrado				
2	09/04/25	13:00:00	16.320					
3	09/04/25	14:00:00	16.487					
4	09/04/25	15:00:00	16.511					
5	09/04/25	16:00:00	16.582					
6	09/04/25	17:00:00	16.487					
7	09/04/25	18:00:00	16.392					
8	09/04/25	19:00:00	16.320					
9	09/04/25	20:00:00	16.272					
10	09/04/25	21:00:00	16.225					
11	09/04/25	22:00:00	16.153					
12	09/04/25	23:00:00	16.034					
13	10/04/25	00:00:00	15.986					
14	10/04/25	01:00:00	15.986					
15	10/04/25	02:00:00	15.963					
16	10/04/25	03:00:00	15.963					
17	10/04/25	04:00:00	15.939					
18	10/04/25	05:00:00	15.939					
19	10/04/25	06:00:00	16.010					
20	10/04/25	07:00:00	15.915					
21	10/04/25	08:00:00	15.891					
22	10/04/25	09:00:00	15.963					
23	10/04/25	10:00:00	16.034					
24	10/04/25	11:00:00	16.106					
25	10/04/25	12:00:00	16.249					
26	10/04/25	13:00:00	16.320					
27	10/04/25	14:00:00	16.392					
28	10/04/25	15:00:00	16.368					
29	10/04/25	16:00:00	16.249					
30	10/04/25	17:00:00	16.225					
31	10/04/25	18:00:00	16.177					
32	10/04/25	19:00:00	16.153					
33	10/04/25	20:00:00	16.082					
34	10/04/25	21:00:00	16.058					
35	10/04/25	22:00:00	16.082					
36	10/04/25	23:00:00	16.082					
37	11/04/25	00:00:00	16.082					
38	11/04/25	01:00:00	16.082					
39	11/04/25	02:00:00	16.082					
40	11/04/25	03:00:00	16.034					
41	11/04/25	04:00:00	15.939					
42	11/04/25	05:00:00	16.058					
43	11/04/25	06:00:00	16.010					
44	11/04/25	07:00:00	16.082					
45	11/04/25	08:00:00	16.058					
46	11/04/25	09:00:00	16.082					
47	11/04/25	10:00:00	16.106					
48	11/04/25	11:00:00	16.201					
49	11/04/25	12:00:00	16.368					
50	11/04/25	13:00:00	16.272					
51	11/04/25	14:00:00	16.272					
52	11/04/25	15:00:00	16.272					
53	11/04/25	16:00:00	16.201					
54	11/04/25	17:00:00	16.201					
55	11/04/25	18:00:00	16.153					
56	11/04/25	19:00:00	16.153					
57	11/04/25	20:00:00	16.153					
58	11/04/25	21:00:00	16.129					
59	11/04/25	22:00:00	16.153					
60	11/04/25	23:00:00	16.082					
61	12/04/25	00:00:00	16.106					
62	12/04/25	01:00:00	16.082					
63	12/04/25	02:00:00	16.106					
64	12/04/25	03:00:00	16.106					
65	12/04/25	04:00:00	16.129					
66	12/04/25	05:00:00	16.082					
67	12/04/25	06:00:00	16.058					
68	12/04/25	07:00:00	16.058					
69	12/04/25	08:00:00	16.129					
70	12/04/25	09:00:00	16.058					
71	12/04/25	10:00:00	16.082					
72	12/04/25	11:00:00	16.201					
73	12/04/25	12:00:00	16.201					
74	12/04/25	13:00:00	16.153					
75	12/04/25	14:00:00	16.177					
76	12/04/25	15:00:00	16.344					
77	12/04/25	16:00:00	16.201					
78	12/04/25	17:00:00	16.177					
79	12/04/25	18:00:00	16.177					
80	12/04/25	19:00:00	16.129					
