"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 21550723, SEN S/N: 21550723)"	"Acoplador separado (LGR S/N: 21550723, SEN S/N: 21550723)"	"Acoplador adjunto (LGR S/N: 21550723, SEN S/N: 21550723)"	"Host conectado (LGR S/N: 21550723, SEN S/N: 21550723)"	"Parado (LGR S/N: 21550723, SEN S/N: 21550723)"	"Final de archivo (LGR S/N: 21550723, SEN S/N: 21550723)"
1	09/09/25	11:00:00	25.089	Registrado				
2	09/09/25	11:30:00	25.501					
3	09/09/25	12:00:00	17.249					
4	09/09/25	12:30:00	23.376					
5	09/09/25	13:00:00	23.400					
6	09/09/25	13:30:00	23.448					
7	09/09/25	14:00:00	23.448					
8	09/09/25	14:30:00	23.424					
9	09/09/25	15:00:00	23.424					
10	09/09/25	15:30:00	23.376					
11	09/09/25	16:00:00	23.376					
12	09/09/25	16:30:00	23.352					
13	09/09/25	17:00:00	23.376					
14	09/09/25	17:30:00	23.376					
15	09/09/25	18:00:00	23.376					
16	09/09/25	18:30:00	23.376					
17	09/09/25	19:00:00	23.376					
18	09/09/25	19:30:00	23.232					
19	09/09/25	20:00:00	23.208					
20	09/09/25	20:30:00	23.112					
21	09/09/25	21:00:00	23.016					
22	09/09/25	21:30:00	22.872					
23	09/09/25	22:00:00	22.824					
24	09/09/25	22:30:00	22.729					
25	09/09/25	23:00:00	22.729					
26	09/09/25	23:30:00	22.681					
27	10/09/25	00:00:00	22.633					
28	10/09/25	00:30:00	22.585					
29	10/09/25	01:00:00	22.609					
30	10/09/25	01:30:00	22.681					
31	10/09/25	02:00:00	22.585					
32	10/09/25	02:30:00	22.561					
33	10/09/25	03:00:00	22.441					
34	10/09/25	03:30:00	22.369					
35	10/09/25	04:00:00	22.345					
36	10/09/25	04:30:00	22.393					
37	10/09/25	05:00:00	22.465					
38	10/09/25	05:30:00	22.441					
39	10/09/25	06:00:00	22.513					
40	10/09/25	06:30:00	22.369					
41	10/09/25	07:00:00	22.417					
42	10/09/25	07:30:00	22.465					
43	10/09/25	08:00:00	22.537					
44	10/09/25	08:30:00	22.633					
45	10/09/25	09:00:00	22.633					
46	10/09/25	09:30:00	22.705					
47	10/09/25	10:00:00	22.681					
48	10/09/25	10:30:00	22.633					
49	10/09/25	11:00:00	22.657					
50	10/09/25	11:30:00	22.585					
51	10/09/25	12:00:00	22.513					
52	10/09/25	12:30:00	22.585					
53	10/09/25	13:00:00	22.681					
54	10/09/25	13:30:00	22.513					
55	10/09/25	14:00:00	22.441					
56	10/09/25	14:30:00	22.417					
57	10/09/25	15:00:00	22.369					
58	10/09/25	15:30:00	22.298					
59	10/09/25	16:00:00	22.130					
60	10/09/25	16:30:00	21.915					
61	10/09/25	17:00:00	21.915					
62	10/09/25	17:30:00	22.058					
63	10/09/25	18:00:00	22.082					
64	10/09/25	18:30:00	22.082					
65	10/09/25	19:00:00	22.154					
66	10/09/25	19:30:00	22.011					
67	10/09/25	20:00:00	22.058					
68	10/09/25	20:30:00	22.082					
69	10/09/25	21:00:00	21.867					
70	10/09/25	21:30:00	21.772					
71	10/09/25	22:00:00	21.724					
72	10/09/25	22:30:00	21.676					
73	10/09/25	23:00:00	21.676					
74	10/09/25	23:30:00	21.652					
75	11/09/25	00:00:00	21.628					
76	11/09/25	00:30:00	21.604					
77	11/09/25	01:00:00	21.819					
78	11/09/25	01:30:00	21.819					
79	11/09/25	02:00:00	21.795					
80	11/09/25	02:30:00	21.724					
81	11/09/25	03:00:00	21.652					
82	11/09/25	03:30:00	21.652					
83	11/09/25	04:00:00	21.390					
84	11/09/25	04:30:00	21.366					
85	11/09/25	05:00:00	21.437					
86	11/09/25	05:30:00	21.008					
87	11/09/25	06:00:00	20.793					
88	11/09/25	06:30:00	20.436					
89	11/09/25	07:00:00	20.269					
90	11/09/25	07:30:00	19.865					
91	11/09/25	08:00:00	19.294					
92	11/09/25	08:30:00	18.818					
93	11/09/25	09:00:00	18.699					
94	11/09/25	09:30:00	18.509					
95	11/09/25	10:00:00	18.390					
96	11/09/25	10:30:00	18.366					
97	11/09/25	11:00:00	18.176					
98	11/09/25	11:30:00	17.891					
99	11/09/25	12:00:00	17.772					
100	11/09/25	12:30:00	17.819					
101	11/09/25	13:00:00	18.771					
102	11/09/25	13:30:00	19.841					
103	11/09/25	14:00:00	19.579					
104	11/09/25	14:30:00	19.341					
105	11/09/25	15:00:00	19.532					
106	11/09/25	15:30:00	19.603					
107	11/09/25	16:00:00	18.961					
108	11/09/25	16:30:00	18.961					
109	11/09/25	17:00:00	18.295					
110	11/09/25	17:30:00	17.796					
111	11/09/25	18:00:00	17.368					
112	11/09/25	18:30:00	17.344					
113	11/09/25	19:00:00	17.201					
114	11/09/25	19:30:00	17.225					
115	11/09/25	20:00:00	17.249					
116	11/09/25	20:30:00	17.225					
117	11/09/25	21:00:00	17.249					
118	11/09/25	21:30:00	17.249					
119	11/09/25	22:00:00	17.201					
120	11/09/25	22:30:00	17.201					
121	11/09/25	23:00:00	17.177					
122	11/09/25	23:30:00	17.249					
123	12/09/25	00:00:00	17.153					
124	12/09/25	00:30:00	17.106					
125	12/09/25	01:00:00	17.201					
126	12/09/25	01:30:00	17.153					
127	12/09/25	02:00:00	16.987					
128	12/09/25	02:30:00	16.844					
129	12/09/25	03:00:00	16.915					
130	12/09/25	03:30:00	16.701					
131	12/09/25	04:00:00	16.892					
132	12/09/25	04:30:00	17.058					
133	12/09/25	05:00:00	17.106					
134	12/09/25	05:30:00	17.106					
135	12/09/25	06:00:00	17.153					
136	12/09/25	06:30:00	17.249					
137	12/09/25	07:00:00	17.249					
138	12/09/25	07:30:00	17.344					
139	12/09/25	08:00:00	17.344					
140	12/09/25	08:30:00	17.415					
141	12/09/25	09:00:00	17.439					
142	12/09/25	09:30:00	17.605					
143	12/09/25	10:00:00	17.677					
144	12/09/25	10:30:00	17.677					
145	12/09/25	11:00:00	17.772					
146	12/09/25	11:30:00	18.152					
147	12/09/25	12:00:00	18.010					
