"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20954370, SEN S/N: 20954370, LBL: Aire_5m_070425)"	"Acoplador separado (LGR S/N: 20954370, SEN S/N: 20954370)"	"Acoplador adjunto (LGR S/N: 20954370, SEN S/N: 20954370)"	"Host conectado (LGR S/N: 20954370, SEN S/N: 20954370)"	"Parado (LGR S/N: 20954370, SEN S/N: 20954370)"	"Final de archivo (LGR S/N: 20954370, SEN S/N: 20954370)"
156	14/04/25	23:00:00	16.773					
157	15/04/25	00:00:00	16.773					
158	15/04/25	01:00:00	16.773					
159	15/04/25	02:00:00	16.725					
160	15/04/25	03:00:00	16.630					
161	15/04/25	04:00:00	16.654					
162	15/04/25	05:00:00	16.654					
163	15/04/25	06:00:00	16.582					
164	15/04/25	07:00:00	16.558					
165	15/04/25	08:00:00	16.511					
166	15/04/25	09:00:00	16.487					
167	15/04/25	10:00:00	16.392					
168	15/04/25	11:00:00	16.511					
169	15/04/25	12:00:00	16.654					
170	15/04/25	13:00:00	16.582					
171	15/04/25	14:00:00	16.606					
172	15/04/25	15:00:00	16.654					
173	15/04/25	16:00:00	16.630					
174	15/04/25	17:00:00	16.463					
175	15/04/25	18:00:00	16.368					
176	15/04/25	19:00:00	16.296					
177	15/04/25	20:00:00	16.249					
178	15/04/25	21:00:00	16.153					
179	15/04/25	22:00:00	16.153					
180	15/04/25	23:00:00	16.010					
181	16/04/25	00:00:00	16.153					
182	16/04/25	01:00:00	16.249					
183	16/04/25	02:00:00	16.225					
184	16/04/25	03:00:00	16.249					
185	16/04/25	04:00:00	16.272					
186	16/04/25	05:00:00	16.320					
187	16/04/25	06:00:00	16.320					
188	16/04/25	07:00:00	16.272					
189	16/04/25	08:00:00	16.129					
190	16/04/25	09:00:00	16.058					
191	16/04/25	10:00:00	15.939					
192	16/04/25	11:00:00	15.963					
193	16/04/25	12:00:00	16.082					
194	16/04/25	13:00:00	16.129					
195	16/04/25	14:00:00	16.106					
196	16/04/25	15:00:00	15.986					
197	16/04/25	16:00:00	15.963					
198	16/04/25	17:00:00	16.010					
199	16/04/25	18:00:00	16.034					
200	16/04/25	19:00:00	16.034					
201	16/04/25	20:00:00	16.272					
202	16/04/25	21:00:00	16.439					
203	16/04/25	22:00:00	16.511					
204	16/04/25	23:00:00	16.582					
205	17/04/25	00:00:00	16.225					
206	17/04/25	01:00:00	16.249					
207	17/04/25	02:00:00	16.463					
208	17/04/25	03:00:00	16.511					
209	17/04/25	04:00:00	16.534					
210	17/04/25	05:00:00	16.534					
211	17/04/25	06:00:00	16.582					
212	17/04/25	07:00:00	16.534					
213	17/04/25	08:00:00	16.582					
214	17/04/25	09:00:00	16.606					
215	17/04/25	10:00:00	16.534					
216	17/04/25	11:00:00	16.511					
217	17/04/25	12:00:00	16.415					
218	17/04/25	13:00:00	16.392					
219	17/04/25	14:00:00	16.487					
220	17/04/25	15:00:00	16.511					
221	17/04/25	16:00:00	16.439					
222	17/04/25	17:00:00	16.511					
223	17/04/25	18:00:00	16.534					
224	17/04/25	19:00:00	16.558					
225	17/04/25	20:00:00	16.534					
226	17/04/25	21:00:00	16.392					
227	17/04/25	22:00:00	16.344					
228	17/04/25	23:00:00	16.368					
229	18/04/25	00:00:00	16.415					
230	18/04/25	01:00:00	16.392					
231	18/04/25	02:00:00	16.487					
232	18/04/25	03:00:00	16.487					
233	18/04/25	04:00:00	16.487					
234	18/04/25	05:00:00	16.487					
235	18/04/25	06:00:00	16.511					
236	18/04/25	07:00:00	16.534					
237	18/04/25	08:00:00	16.534					
238	18/04/25	09:00:00	16.511					
239	18/04/25	10:00:00	16.511					
240	18/04/25	11:00:00	16.534					
241	18/04/25	12:00:00	16.582					
242	18/04/25	13:00:00	16.606					
