"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20852769, SEN S/N: 20852769)"	"Acoplador separado (LGR S/N: 20852769, SEN S/N: 20852769)"	"Acoplador adjunto (LGR S/N: 20852769, SEN S/N: 20852769)"	"Host conectado (LGR S/N: 20852769, SEN S/N: 20852769)"	"Parado (LGR S/N: 20852769, SEN S/N: 20852769)"	"Final de archivo (LGR S/N: 20852769, SEN S/N: 20852769)"
1	09/09/25	11:00:00	24.677	Registrado				
2	09/09/25	11:30:00	24.847					
3	09/09/25	12:00:00	17.082					
4	09/09/25	12:30:00	21.915					
5	09/09/25	13:00:00	21.939					
6	09/09/25	13:30:00	22.082					
7	09/09/25	14:00:00	22.202					
8	09/09/25	14:30:00	22.345					
9	09/09/25	15:00:00	22.154					
10	09/09/25	15:30:00	22.202					
11	09/09/25	16:00:00	22.106					
12	09/09/25	16:30:00	22.106					
13	09/09/25	17:00:00	22.226					
14	09/09/25	17:30:00	22.106					
15	09/09/25	18:00:00	22.202					
16	09/09/25	18:30:00	22.226					
17	09/09/25	19:00:00	22.226					
18	09/09/25	19:30:00	22.202					
19	09/09/25	20:00:00	22.226					
20	09/09/25	20:30:00	22.082					
21	09/09/25	21:00:00	22.178					
22	09/09/25	21:30:00	22.058					
23	09/09/25	22:00:00	22.082					
24	09/09/25	22:30:00	22.058					
25	09/09/25	23:00:00	22.082					
26	09/09/25	23:30:00	21.939					
27	10/09/25	00:00:00	22.034					
28	10/09/25	00:30:00	22.082					
29	10/09/25	01:00:00	21.939					
30	10/09/25	01:30:00	21.915					
31	10/09/25	02:00:00	21.772					
32	10/09/25	02:30:00	21.819					
33	10/09/25	03:00:00	21.628					
34	10/09/25	03:30:00	22.106					
35	10/09/25	04:00:00	22.250					
36	10/09/25	04:30:00	22.178					
37	10/09/25	05:00:00	22.178					
38	10/09/25	05:30:00	22.106					
39	10/09/25	06:00:00	22.034					
40	10/09/25	06:30:00	21.939					
41	10/09/25	07:00:00	22.011					
42	10/09/25	07:30:00	22.034					
43	10/09/25	08:00:00	22.011					
44	10/09/25	08:30:00	21.987					
45	10/09/25	09:00:00	21.987					
46	10/09/25	09:30:00	22.011					
47	10/09/25	10:00:00	22.034					
48	10/09/25	10:30:00	22.298					
49	10/09/25	11:00:00	22.345					
50	10/09/25	11:30:00	22.011					
51	10/09/25	12:00:00	21.867					
52	10/09/25	12:30:00	21.915					
53	10/09/25	13:00:00	21.915					
