"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 22089575, SEN S/N: 22089575, LBL: Aire_10m_08042025)"	"Acoplador separado (LGR S/N: 22089575, SEN S/N: 22089575)"	"Acoplador adjunto (LGR S/N: 22089575, SEN S/N: 22089575)"	"Host conectado (LGR S/N: 22089575, SEN S/N: 22089575)"	"Parado (LGR S/N: 22089575, SEN S/N: 22089575)"	"Final de archivo (LGR S/N: 22089575, SEN S/N: 22089575)"
1	08/04/25	12:00:00	16.296	Registrado				
2	08/04/25	13:00:00	16.368					
3	08/04/25	14:00:00	16.392					
4	08/04/25	15:00:00	16.415					
5	08/04/25	16:00:00	16.392					
6	08/04/25	17:00:00	16.320					
7	08/04/25	18:00:00	16.249					
8	08/04/25	19:00:00	16.368					
9	08/04/25	20:00:00	16.249					
10	08/04/25	21:00:00	16.082					
11	08/04/25	22:00:00	16.058					
12	08/04/25	23:00:00	16.010					
13	09/04/25	00:00:00	16.082					
14	09/04/25	01:00:00	16.201					
15	09/04/25	02:00:00	16.320					
16	09/04/25	03:00:00	16.129					
17	09/04/25	04:00:00	16.201					
18	09/04/25	05:00:00	16.153					
19	09/04/25	06:00:00	16.129					
20	09/04/25	07:00:00	15.986					
21	09/04/25	08:00:00	16.129					
22	09/04/25	09:00:00	16.249					
23	09/04/25	10:00:00	16.439					
24	09/04/25	11:00:00	16.606					
25	09/04/25	12:00:00	16.344					
26	09/04/25	13:00:00	16.773					
27	09/04/25	14:00:00	16.749					
28	09/04/25	15:00:00	16.106					
29	09/04/25	16:00:00	16.296					
30	09/04/25	17:00:00	16.034					
31	09/04/25	18:00:00	16.034					
32	09/04/25	19:00:00	15.915					
33	09/04/25	20:00:00	15.867					
34	09/04/25	21:00:00	16.320					
35	09/04/25	22:00:00	16.344					
36	09/04/25	23:00:00	16.344					
37	10/04/25	00:00:00	16.606					
38	10/04/25	01:00:00	16.487					
39	10/04/25	02:00:00	16.344					
40	10/04/25	03:00:00	16.487					
41	10/04/25	04:00:00	16.511					
42	10/04/25	05:00:00	16.630					
43	10/04/25	06:00:00	16.630					
44	10/04/25	07:00:00	16.439					
45	10/04/25	08:00:00	16.606					
46	10/04/25	09:00:00	16.582					
47	10/04/25	10:00:00	16.177					
48	10/04/25	11:00:00	16.392					
49	10/04/25	12:00:00	16.487					
50	10/04/25	13:00:00	16.534					
51	10/04/25	14:00:00	16.558					
52	10/04/25	15:00:00	16.654					
53	10/04/25	16:00:00	16.677					
54	10/04/25	17:00:00	16.439					
55	10/04/25	18:00:00	16.344					
56	10/04/25	19:00:00	16.106					
57	10/04/25	20:00:00	16.487					
58	10/04/25	21:00:00	16.368					
59	10/04/25	22:00:00	15.867					
60	10/04/25	23:00:00	16.153					
61	11/04/25	00:00:00	16.392					
62	11/04/25	01:00:00	16.320					
63	11/04/25	02:00:00	16.511					
64	11/04/25	03:00:00	16.534					
65	11/04/25	04:00:00	16.511					
66	11/04/25	05:00:00	16.129					
67	11/04/25	06:00:00	16.177					
68	11/04/25	07:00:00	16.511					
69	11/04/25	08:00:00	16.439					
70	11/04/25	09:00:00	16.415					
71	11/04/25	10:00:00	16.511					
72	11/04/25	11:00:00	16.558					
73	11/04/25	12:00:00	16.582					
74	11/04/25	13:00:00	16.582					
75	11/04/25	14:00:00	16.701					
76	11/04/25	15:00:00	16.725					
77	11/04/25	16:00:00	16.725					
78	11/04/25	17:00:00	16.582					
79	11/04/25	18:00:00	16.844					
80	11/04/25	19:00:00	16.820					
81	11/04/25	20:00:00	16.773					
82	11/04/25	21:00:00	16.606					
83	11/04/25	22:00:00	15.939					
84	11/04/25	23:00:00	15.724					
85	12/04/25	00:00:00	15.700					
86	12/04/25	01:00:00	15.915					
87	12/04/25	02:00:00	16.058					
88	12/04/25	03:00:00	16.368					
89	12/04/25	04:00:00	16.606					
90	12/04/25	05:00:00	16.677					
91	12/04/25	06:00:00	16.439					
92	12/04/25	07:00:00	16.463					
93	12/04/25	08:00:00	16.487					
94	12/04/25	09:00:00	16.415					
95	12/04/25	10:00:00	16.392					
96	12/04/25	11:00:00	16.177					
97	12/04/25	12:00:00	16.320					
98	12/04/25	13:00:00	16.392					
99	12/04/25	14:00:00	16.439					
100	12/04/25	15:00:00	16.511					
101	12/04/25	16:00:00	16.582					
102	12/04/25	17:00:00	16.725					
103	12/04/25	18:00:00	16.701					
104	12/04/25	19:00:00	16.606					
105	12/04/25	20:00:00	16.415					
106	12/04/25	21:00:00	16.368					
107	12/04/25	22:00:00	16.344					
108	12/04/25	23:00:00	15.915					
109	13/04/25	00:00:00	15.867					
110	13/04/25	01:00:00	15.867					
111	13/04/25	02:00:00	16.034					
112	13/04/25	03:00:00	16.177					
113	13/04/25	04:00:00	16.201					
114	13/04/25	05:00:00	16.249					
115	13/04/25	06:00:00	16.463					
116	13/04/25	07:00:00	16.439					
117	13/04/25	08:00:00	16.415					
118	13/04/25	09:00:00	16.630					
119	13/04/25	10:00:00	16.582					
120	13/04/25	11:00:00	16.129					
121	13/04/25	12:00:00	16.415					
122	13/04/25	13:00:00	16.558					
123	13/04/25	14:00:00	16.439					
124	13/04/25	15:00:00	16.415					
125	13/04/25	16:00:00	16.368					
126	13/04/25	17:00:00	16.320					
127	13/04/25	18:00:00	16.463					
128	13/04/25	19:00:00	16.392					
129	13/04/25	20:00:00	16.749					
130	13/04/25	21:00:00	16.582					
131	13/04/25	22:00:00	16.987					
132	13/04/25	23:00:00	16.796					
133	14/04/25	00:00:00	16.773					
134	14/04/25	01:00:00	16.868					
