"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20852767, SEN S/N: 20852767)"	"Acoplador separado (LGR S/N: 20852767, SEN S/N: 20852767)"	"Acoplador adjunto (LGR S/N: 20852767, SEN S/N: 20852767)"	"Host conectado (LGR S/N: 20852767, SEN S/N: 20852767)"	"Parado (LGR S/N: 20852767, SEN S/N: 20852767)"	"Final de archivo (LGR S/N: 20852767, SEN S/N: 20852767)"
1	09/09/25	11:00:00	24.726	Registrado				
2	09/09/25	11:30:00	24.944					
3	09/09/25	12:00:00	16.987					
4	09/09/25	12:30:00	20.960					
5	09/09/25	13:00:00	21.008					
6	09/09/25	13:30:00	21.390					
7	09/09/25	14:00:00	21.437					
8	09/09/25	14:30:00	21.628					
9	09/09/25	15:00:00	21.628					
10	09/09/25	15:30:00	21.652					
11	09/09/25	16:00:00	21.652					
12	09/09/25	16:30:00	21.724					
13	09/09/25	17:00:00	21.724					
14	09/09/25	17:30:00	21.652					
15	09/09/25	18:00:00	21.772					
16	09/09/25	18:30:00	21.795					
17	09/09/25	19:00:00	21.581					
18	09/09/25	19:30:00	21.461					
19	09/09/25	20:00:00	21.533					
20	09/09/25	20:30:00	21.533					
21	09/09/25	21:00:00	21.437					
22	09/09/25	21:30:00	21.390					
23	09/09/25	22:00:00	21.413					
24	09/09/25	22:30:00	21.294					
25	09/09/25	23:00:00	21.079					
26	09/09/25	23:30:00	20.746					
27	10/09/25	00:00:00	20.650					
28	10/09/25	00:30:00	20.603					
29	10/09/25	01:00:00	20.555					
30	10/09/25	01:30:00	20.722					
31	10/09/25	02:00:00	21.008					
32	10/09/25	02:30:00	21.008					
33	10/09/25	03:00:00	20.841					
34	10/09/25	03:30:00	20.817					
35	10/09/25	04:00:00	20.984					
36	10/09/25	04:30:00	21.199					
37	10/09/25	05:00:00	21.676					
38	10/09/25	05:30:00	22.082					
39	10/09/25	06:00:00	21.963					
40	10/09/25	06:30:00	21.843					
41	10/09/25	07:00:00	21.748					
42	10/09/25	07:30:00	21.819					
43	10/09/25	08:00:00	21.915					
44	10/09/25	08:30:00	21.963					
45	10/09/25	09:00:00	21.867					
46	10/09/25	09:30:00	21.915					
47	10/09/25	10:00:00	21.915					
48	10/09/25	10:30:00	21.939					
49	10/09/25	11:00:00	21.748					
50	10/09/25	11:30:00	21.533					
51	10/09/25	12:00:00	21.032					
52	10/09/25	12:30:00	21.342					
53	10/09/25	13:00:00	21.581					
54	10/09/25	13:30:00	21.676					
55	10/09/25	14:00:00	21.533					
56	10/09/25	14:30:00	21.485					
57	10/09/25	15:00:00	21.413					
58	10/09/25	15:30:00	20.388					
59	10/09/25	16:00:00	20.150					
60	10/09/25	16:30:00	19.984					
61	10/09/25	17:00:00	19.651					
62	10/09/25	17:30:00	19.318					
63	10/09/25	18:00:00	19.151					
64	10/09/25	18:30:00	19.294					
65	10/09/25	19:00:00	19.151					
66	10/09/25	19:30:00	19.056					
67	10/09/25	20:00:00	18.913					
68	10/09/25	20:30:00	18.604					
69	10/09/25	21:00:00	18.509					
70	10/09/25	21:30:00	18.509					
71	10/09/25	22:00:00	18.509					
72	10/09/25	22:30:00	18.271					
73	10/09/25	23:00:00	18.105					
74	10/09/25	23:30:00	18.366					
75	11/09/25	00:00:00	18.390					
76	11/09/25	00:30:00	18.295					
77	11/09/25	01:00:00	18.105					
78	11/09/25	01:30:00	18.057					
79	11/09/25	02:00:00	18.105					
80	11/09/25	02:30:00	18.319					
81	11/09/25	03:00:00	18.461					
82	11/09/25	03:30:00	18.557					
83	11/09/25	04:00:00	17.819					
84	11/09/25	04:30:00	17.439					
85	11/09/25	05:00:00	17.272					
86	11/09/25	05:30:00	17.177					
87	11/09/25	06:00:00	17.272					
88	11/09/25	06:30:00	17.225					
89	11/09/25	07:00:00	17.106					
90	11/09/25	07:30:00	17.011					
91	11/09/25	08:00:00	17.130					
92	11/09/25	08:30:00	16.844					
93	11/09/25	09:00:00	16.630					
94	11/09/25	09:30:00	16.630					
95	11/09/25	10:00:00	16.534					
96	11/09/25	10:30:00	16.415					
97	11/09/25	11:00:00	16.344					
98	11/09/25	11:30:00	16.368					
99	11/09/25	12:00:00	16.153					
100	11/09/25	12:30:00	16.177					
101	11/09/25	13:00:00	16.344					
102	11/09/25	13:30:00	16.511					
103	11/09/25	14:00:00	16.534					
104	11/09/25	14:30:00	16.630					
105	11/09/25	15:00:00	16.677					
106	11/09/25	15:30:00	16.677					
