"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20852771, SEN S/N: 20852771)"	"Acoplador separado (LGR S/N: 20852771, SEN S/N: 20852771)"	"Acoplador adjunto (LGR S/N: 20852771, SEN S/N: 20852771)"	"Host conectado (LGR S/N: 20852771, SEN S/N: 20852771)"	"Parado (LGR S/N: 20852771, SEN S/N: 20852771)"	"Final de archivo (LGR S/N: 20852771, SEN S/N: 20852771)"
1	09/09/25	11:00:00	24.629	Registrado				
2	09/09/25	11:30:00	24.798					
3	09/09/25	12:00:00	16.939					
4	09/09/25	12:30:00	19.817					
5	09/09/25	13:00:00	19.817					
6	09/09/25	13:30:00	20.341					
7	09/09/25	14:00:00	20.531					
8	09/09/25	14:30:00	20.293					
9	09/09/25	15:00:00	20.174					
10	09/09/25	15:30:00	20.174					
11	09/09/25	16:00:00	20.150					
12	09/09/25	16:30:00	19.912					
13	09/09/25	17:00:00	19.865					
14	09/09/25	17:30:00	19.984					
15	09/09/25	18:00:00	20.412					
16	09/09/25	18:30:00	20.603					
17	09/09/25	19:00:00	20.913					
18	09/09/25	19:30:00	20.698					
19	09/09/25	20:00:00	20.793					
20	09/09/25	20:30:00	20.388					
21	09/09/25	21:00:00	20.412					
22	09/09/25	21:30:00	20.412					
23	09/09/25	22:00:00	20.388					
24	09/09/25	22:30:00	20.126					
25	09/09/25	23:00:00	19.912					
26	09/09/25	23:30:00	19.365					
27	10/09/25	00:00:00	19.413					
28	10/09/25	00:30:00	19.484					
29	10/09/25	01:00:00	19.817					
30	10/09/25	01:30:00	19.865					
31	10/09/25	02:00:00	19.912					
32	10/09/25	02:30:00	20.007					
33	10/09/25	03:00:00	19.746					
34	10/09/25	03:30:00	17.796					
35	10/09/25	04:00:00	17.748					
36	10/09/25	04:30:00	17.748					
37	10/09/25	05:00:00	19.888					
38	10/09/25	05:30:00	20.460					
39	10/09/25	06:00:00	20.150					
40	10/09/25	06:30:00	19.888					
41	10/09/25	07:00:00	20.079					
42	10/09/25	07:30:00	20.579					
43	10/09/25	08:00:00	20.579					
