"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 22123049, SEN S/N: 22123049, LBL: Aire_20m_080425)"	"Acoplador separado (LGR S/N: 22123049, SEN S/N: 22123049)"	"Acoplador adjunto (LGR S/N: 22123049, SEN S/N: 22123049)"	"Host conectado (LGR S/N: 22123049, SEN S/N: 22123049)"	"Parado (LGR S/N: 22123049, SEN S/N: 22123049)"	"Final de archivo (LGR S/N: 22123049, SEN S/N: 22123049)"
1	08/04/25	12:00:00	16.106	Registrado				
2	08/04/25	13:00:00	16.106					
3	08/04/25	14:00:00	16.106					
4	08/04/25	15:00:00	16.129					
5	08/04/25	16:00:00	16.153					
6	08/04/25	17:00:00	16.177					
7	08/04/25	18:00:00	16.153					
8	08/04/25	19:00:00	16.153					
9	08/04/25	20:00:00	16.129					
10	08/04/25	21:00:00	16.010					
11	08/04/25	22:00:00	15.963					
12	08/04/25	23:00:00	15.939					
13	09/04/25	00:00:00	16.034					
14	09/04/25	01:00:00	16.106					
15	09/04/25	02:00:00	16.249					
16	09/04/25	03:00:00	16.010					
17	09/04/25	04:00:00	16.010					
18	09/04/25	05:00:00	16.010					
19	09/04/25	06:00:00	16.010					
20	09/04/25	07:00:00	15.533					
21	09/04/25	08:00:00	15.700					
22	09/04/25	09:00:00	15.915					
23	09/04/25	10:00:00	15.939					
24	09/04/25	11:00:00	16.082					
25	09/04/25	12:00:00	15.915					
26	09/04/25	13:00:00	15.915					
27	09/04/25	14:00:00	15.772					
28	09/04/25	15:00:00	15.748					
29	09/04/25	16:00:00	15.772					
30	09/04/25	17:00:00	15.796					
31	09/04/25	18:00:00	15.819					
32	09/04/25	19:00:00	15.796					
33	09/04/25	20:00:00	15.772					
34	09/04/25	21:00:00	15.772					
35	09/04/25	22:00:00	15.748					
36	09/04/25	23:00:00	15.748					
37	10/04/25	00:00:00	15.867					
38	10/04/25	01:00:00	15.915					
39	10/04/25	02:00:00	15.986					
40	10/04/25	03:00:00	16.225					
41	10/04/25	04:00:00	16.106					
42	10/04/25	05:00:00	16.058					
43	10/04/25	06:00:00	16.010					
44	10/04/25	07:00:00	16.010					
45	10/04/25	08:00:00	16.082					
46	10/04/25	09:00:00	16.034					
47	10/04/25	10:00:00	16.010					
48	10/04/25	11:00:00	16.225					
49	10/04/25	12:00:00	16.296					
50	10/04/25	13:00:00	16.368					
51	10/04/25	14:00:00	16.201					
52	10/04/25	15:00:00	16.082					
53	10/04/25	16:00:00	16.106					
54	10/04/25	17:00:00	16.010					
55	10/04/25	18:00:00	15.915					
56	10/04/25	19:00:00	15.772					
57	10/04/25	20:00:00	15.700					
58	10/04/25	21:00:00	15.581					
59	10/04/25	22:00:00	15.629					
60	10/04/25	23:00:00	16.058					
61	11/04/25	00:00:00	16.320					
62	11/04/25	01:00:00	16.249					
63	11/04/25	02:00:00	16.439					
64	11/04/25	03:00:00	16.487					
65	11/04/25	04:00:00	16.392					
66	11/04/25	05:00:00	15.939					
67	11/04/25	06:00:00	15.724					
68	11/04/25	07:00:00	15.724					
69	11/04/25	08:00:00	15.629					
70	11/04/25	09:00:00	15.509					
71	11/04/25	10:00:00	15.843					
72	11/04/25	11:00:00	16.392					
73	11/04/25	12:00:00	16.439					
74	11/04/25	13:00:00	16.296					
75	11/04/25	14:00:00	16.558					
76	11/04/25	15:00:00	16.106					
77	11/04/25	16:00:00	16.439					
78	11/04/25	17:00:00	16.463					
79	11/04/25	18:00:00	16.749					
80	11/04/25	19:00:00	16.701					
81	11/04/25	20:00:00	16.439					
82	11/04/25	21:00:00	15.939					
83	11/04/25	22:00:00	15.605					
84	11/04/25	23:00:00	15.652					
85	12/04/25	00:00:00	15.629					
86	12/04/25	01:00:00	15.748					
87	12/04/25	02:00:00	15.700					
88	12/04/25	03:00:00	16.344					
89	12/04/25	04:00:00	16.582					
90	12/04/25	05:00:00	16.582					
91	12/04/25	06:00:00	16.177					
92	12/04/25	07:00:00	16.034					
93	12/04/25	08:00:00	16.010					
94	12/04/25	09:00:00	16.272					
95	12/04/25	10:00:00	16.272					
96	12/04/25	11:00:00	16.058					
97	12/04/25	12:00:00	16.249					
98	12/04/25	13:00:00	16.296					
99	12/04/25	14:00:00	16.368					
100	12/04/25	15:00:00	16.392					
101	12/04/25	16:00:00	16.582					
102	12/04/25	17:00:00	16.677					
103	12/04/25	18:00:00	16.630					
104	12/04/25	19:00:00	16.487					
105	12/04/25	20:00:00	16.225					
106	12/04/25	21:00:00	16.201					
107	12/04/25	22:00:00	16.129					
108	12/04/25	23:00:00	15.796					
109	13/04/25	00:00:00	15.819					
110	13/04/25	01:00:00	15.724					
111	13/04/25	02:00:00	15.772					
112	13/04/25	03:00:00	15.986					
113	13/04/25	04:00:00	16.058					
114	13/04/25	05:00:00	16.177					
115	13/04/25	06:00:00	16.272					
116	13/04/25	07:00:00	16.296					
117	13/04/25	08:00:00	16.272					
118	13/04/25	09:00:00	16.511					
119	13/04/25	10:00:00	15.986					
120	13/04/25	11:00:00	15.891					
121	13/04/25	12:00:00	15.986					
122	13/04/25	13:00:00	16.058					
123	13/04/25	14:00:00	16.153					
124	13/04/25	15:00:00	16.058					
125	13/04/25	16:00:00	15.986					
126	13/04/25	17:00:00	16.058					
127	13/04/25	18:00:00	16.129					
128	13/04/25	19:00:00	15.772					
129	13/04/25	20:00:00	15.867					
130	13/04/25	21:00:00	15.700					
131	13/04/25	22:00:00	15.939					
132	13/04/25	23:00:00	16.153					
133	14/04/25	00:00:00	16.487					
134	14/04/25	01:00:00	16.534					
135	14/04/25	02:00:00	16.582					
136	14/04/25	03:00:00	16.725					
137	14/04/25	04:00:00	16.749					
138	14/04/25	05:00:00	16.630					
139	14/04/25	06:00:00	16.582					
140	14/04/25	07:00:00	16.606					
141	14/04/25	08:00:00	16.511					
142	14/04/25	09:00:00	16.463					
143	14/04/25	10:00:00	16.534					
144	14/04/25	11:00:00	16.487					
145	14/04/25	12:00:00	16.463					
146	14/04/25	13:00:00	16.249					
147	14/04/25	14:00:00	16.249					
148	14/04/25	15:00:00	16.249					
149	14/04/25	16:00:00	16.296					
150	14/04/25	17:00:00	16.511					
151	14/04/25	18:00:00	16.368					
152	14/04/25	19:00:00	16.320					
153	14/04/25	20:00:00	16.320					
154	14/04/25	21:00:00	16.320					
155	14/04/25	22:00:00	16.296					
156	14/04/25	23:00:00	16.272					
157	15/04/25	00:00:00	16.272					
158	15/04/25	01:00:00	16.296					
159	15/04/25	02:00:00	16.272					
160	15/04/25	03:00:00	16.249					
161	15/04/25	04:00:00	16.415					
162	15/04/25	05:00:00	16.201					
163	15/04/25	06:00:00	16.058					
164	15/04/25	07:00:00	16.296					
165	15/04/25	08:00:00	16.249					
166	15/04/25	09:00:00	16.249					
167	15/04/25	10:00:00	16.153					
168	15/04/25	11:00:00	16.082					
169	15/04/25	12:00:00	16.082					
170	15/04/25	13:00:00	16.058					
171	15/04/25	14:00:00	16.392					
172	15/04/25	15:00:00	16.582					
173	15/04/25	16:00:00	16.558					
174	15/04/25	17:00:00	16.392					
175	15/04/25	18:00:00	16.320					
176	15/04/25	19:00:00	16.249					
177	15/04/25	20:00:00	16.201					
178	15/04/25	21:00:00	16.129					
179	15/04/25	22:00:00	16.082					
180	15/04/25	23:00:00	15.867					
181	16/04/25	00:00:00	16.034					
182	16/04/25	01:00:00	16.153					
183	16/04/25	02:00:00	16.129					
184	16/04/25	03:00:00	16.177					
185	16/04/25	04:00:00	16.201					
186	16/04/25	05:00:00	16.249					
187	16/04/25	06:00:00	16.272					
188	16/04/25	07:00:00	16.201					
189	16/04/25	08:00:00	16.106					
190	16/04/25	09:00:00	15.986					
191	16/04/25	10:00:00	15.867					
192	16/04/25	11:00:00	15.843					
193	16/04/25	12:00:00	16.010					
194	16/04/25	13:00:00	16.082					
195	16/04/25	14:00:00	16.058					
196	16/04/25	15:00:00	15.915					
197	16/04/25	16:00:00	15.915					
198	16/04/25	17:00:00	15.939					
199	16/04/25	18:00:00	15.963					
200	16/04/25	19:00:00	15.986					
201	16/04/25	20:00:00	16.177					
202	16/04/25	21:00:00	16.368					
203	16/04/25	22:00:00	16.392					
204	16/04/25	23:00:00	16.368					
205	17/04/25	00:00:00	16.129					
206	17/04/25	01:00:00	16.153					
207	17/04/25	02:00:00	16.392					
208	17/04/25	03:00:00	16.415					
209	17/04/25	04:00:00	16.415					
210	17/04/25	05:00:00	16.487					
211	17/04/25	06:00:00	16.487					
212	17/04/25	07:00:00	16.487					
213	17/04/25	08:00:00	16.511					
214	17/04/25	09:00:00	16.534					
215	17/04/25	10:00:00	16.415					
216	17/04/25	11:00:00	16.439					
217	17/04/25	12:00:00	16.272					
218	17/04/25	13:00:00	16.320					
219	17/04/25	14:00:00	16.392					
