"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 21565457, SEN S/N: 21565457, LBL: Porros_40m_09042025)"	"Acoplador separado (LGR S/N: 21565457, SEN S/N: 21565457)"	"Acoplador adjunto (LGR S/N: 21565457, SEN S/N: 21565457)"	"Host conectado (LGR S/N: 21565457, SEN S/N: 21565457)"	"Parado (LGR S/N: 21565457, SEN S/N: 21565457)"	"Final de archivo (LGR S/N: 21565457, SEN S/N: 21565457)"
1	09/04/25	12:00:00	15.294	Registrado				
2	09/04/25	13:00:00	15.318					
3	09/04/25	14:00:00	15.318					
4	09/04/25	15:00:00	15.342					
5	09/04/25	16:00:00	15.342					
6	09/04/25	17:00:00	15.318					
7	09/04/25	18:00:00	15.294					
8	09/04/25	19:00:00	15.342					
9	09/04/25	20:00:00	15.318					
10	09/04/25	21:00:00	15.342					
11	09/04/25	22:00:00	15.318					
12	09/04/25	23:00:00	15.342					
13	10/04/25	00:00:00	15.318					
14	10/04/25	01:00:00	15.318					
15	10/04/25	02:00:00	15.318					
16	10/04/25	03:00:00	15.294					
17	10/04/25	04:00:00	15.318					
18	10/04/25	05:00:00	15.294					
19	10/04/25	06:00:00	15.270					
20	10/04/25	07:00:00	15.270					
21	10/04/25	08:00:00	15.270					
22	10/04/25	09:00:00	15.270					
23	10/04/25	10:00:00	15.247					
24	10/04/25	11:00:00	15.270					
25	10/04/25	12:00:00	15.318					
26	10/04/25	13:00:00	15.270					
27	10/04/25	14:00:00	15.366					
28	10/04/25	15:00:00	15.366					
29	10/04/25	16:00:00	15.318					
30	10/04/25	17:00:00	15.318					
31	10/04/25	18:00:00	15.270					
32	10/04/25	19:00:00	15.270					
33	10/04/25	20:00:00	15.342					
34	10/04/25	21:00:00	15.342					
35	10/04/25	22:00:00	15.270					
36	10/04/25	23:00:00	15.247					
37	11/04/25	00:00:00	15.199					
38	11/04/25	01:00:00	15.247					
39	11/04/25	02:00:00	15.247					
40	11/04/25	03:00:00	15.247					
41	11/04/25	04:00:00	15.270					
42	11/04/25	05:00:00	15.342					
43	11/04/25	06:00:00	15.270					
44	11/04/25	07:00:00	15.318					
45	11/04/25	08:00:00	15.342					
46	11/04/25	09:00:00	15.342					
47	11/04/25	10:00:00	15.342					
48	11/04/25	11:00:00	15.342					
49	11/04/25	12:00:00	15.342					
50	11/04/25	13:00:00	15.318					
51	11/04/25	14:00:00	15.318					
52	11/04/25	15:00:00	15.318					
53	11/04/25	16:00:00	15.294					
54	11/04/25	17:00:00	15.342					
55	11/04/25	18:00:00	15.342					
56	11/04/25	19:00:00	15.342					
57	11/04/25	20:00:00	15.294					
58	11/04/25	21:00:00	15.294					
59	11/04/25	22:00:00	15.294					
60	11/04/25	23:00:00	15.342					
61	12/04/25	00:00:00	15.461					
62	12/04/25	01:00:00	15.438					
63	12/04/25	02:00:00	15.390					
64	12/04/25	03:00:00	15.390					
65	12/04/25	04:00:00	15.342					
66	12/04/25	05:00:00	15.414					
67	12/04/25	06:00:00	15.438					
68	12/04/25	07:00:00	15.438					
69	12/04/25	08:00:00	15.557					
70	12/04/25	09:00:00	15.629					
71	12/04/25	10:00:00	15.629					
72	12/04/25	11:00:00	15.605					
73	12/04/25	12:00:00	15.652					
74	12/04/25	13:00:00	15.724					
75	12/04/25	14:00:00	15.700					
76	12/04/25	15:00:00	15.748					
77	12/04/25	16:00:00	15.724					
78	12/04/25	17:00:00	15.676					
79	12/04/25	18:00:00	15.652					
80	12/04/25	19:00:00	15.819					
81	12/04/25	20:00:00	15.843					
