"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20364086, SEN S/N: 20364086, LBL: Aire_25m_080425)"	"Acoplador separado (LGR S/N: 20364086, SEN S/N: 20364086)"	"Acoplador adjunto (LGR S/N: 20364086, SEN S/N: 20364086)"	"Host conectado (LGR S/N: 20364086, SEN S/N: 20364086)"	"Parado (LGR S/N: 20364086, SEN S/N: 20364086)"	"Final de archivo (LGR S/N: 20364086, SEN S/N: 20364086)"
1	08/04/25	12:00:00	16.129	Registrado				
2	08/04/25	13:00:00	16.177					
3	08/04/25	14:00:00	16.153					
4	08/04/25	15:00:00	16.225					
5	08/04/25	16:00:00	16.272					
6	08/04/25	17:00:00	16.272					
7	08/04/25	18:00:00	16.225					
8	08/04/25	19:00:00	16.153					
9	08/04/25	20:00:00	16.129					
10	08/04/25	21:00:00	16.010					
11	08/04/25	22:00:00	15.939					
12	08/04/25	23:00:00	15.939					
13	09/04/25	00:00:00	16.010					
14	09/04/25	01:00:00	16.058					
15	09/04/25	02:00:00	16.058					
16	09/04/25	03:00:00	16.010					
17	09/04/25	04:00:00	16.010					
18	09/04/25	05:00:00	16.058					
19	09/04/25	06:00:00	15.891					
20	09/04/25	07:00:00	15.438					
21	09/04/25	08:00:00	15.438					
22	09/04/25	09:00:00	15.461					
23	09/04/25	10:00:00	15.748					
24	09/04/25	11:00:00	15.986					
25	09/04/25	12:00:00	15.629					
26	09/04/25	13:00:00	15.605					
27	09/04/25	14:00:00	15.676					
28	09/04/25	15:00:00	15.724					
29	09/04/25	16:00:00	15.772					
30	09/04/25	17:00:00	15.796					
31	09/04/25	18:00:00	15.819					
32	09/04/25	19:00:00	15.819					
33	09/04/25	20:00:00	15.796					
34	09/04/25	21:00:00	15.772					
35	09/04/25	22:00:00	15.748					
36	09/04/25	23:00:00	15.748					
37	10/04/25	00:00:00	15.796					
38	10/04/25	01:00:00	15.819					
39	10/04/25	02:00:00	15.819					
40	10/04/25	03:00:00	16.058					
41	10/04/25	04:00:00	15.963					
42	10/04/25	05:00:00	15.986					
43	10/04/25	06:00:00	15.986					
44	10/04/25	07:00:00	15.986					
45	10/04/25	08:00:00	16.034					
46	10/04/25	09:00:00	16.058					
47	10/04/25	10:00:00	16.034					
48	10/04/25	11:00:00	16.058					
49	10/04/25	12:00:00	16.058					
50	10/04/25	13:00:00	16.082					
51	10/04/25	14:00:00	16.082					
52	10/04/25	15:00:00	16.106					
53	10/04/25	16:00:00	16.034					
54	10/04/25	17:00:00	15.963					
55	10/04/25	18:00:00	15.915					
56	10/04/25	19:00:00	15.676					
57	10/04/25	20:00:00	15.581					
58	10/04/25	21:00:00	15.509					
59	10/04/25	22:00:00	15.509					
60	10/04/25	23:00:00	15.629					
61	11/04/25	00:00:00	16.153					
62	11/04/25	01:00:00	16.177					
63	11/04/25	02:00:00	16.415					
64	11/04/25	03:00:00	16.415					
65	11/04/25	04:00:00	16.296					
66	11/04/25	05:00:00	15.843					
67	11/04/25	06:00:00	15.700					
68	11/04/25	07:00:00	15.676					
69	11/04/25	08:00:00	15.605					
