"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 21550724, SEN S/N: 21550724)"	"Acoplador separado (LGR S/N: 21550724, SEN S/N: 21550724)"	"Acoplador adjunto (LGR S/N: 21550724, SEN S/N: 21550724)"	"Host conectado (LGR S/N: 21550724, SEN S/N: 21550724)"	"Parado (LGR S/N: 21550724, SEN S/N: 21550724)"	"Final de archivo (LGR S/N: 21550724, SEN S/N: 21550724)"
1	09/09/25	11:00:00	24.871	Registrado				
2	09/09/25	11:30:00	25.234					
3	09/09/25	12:00:00	17.130					
4	09/09/25	12:30:00	18.533					
5	09/09/25	13:00:00	18.176					
6	09/09/25	13:30:00	17.843					
7	09/09/25	14:00:00	18.794					
8	09/09/25	14:30:00	18.485					
9	09/09/25	15:00:00	18.414					
10	09/09/25	15:30:00	18.033					
11	09/09/25	16:00:00	17.724					
12	09/09/25	16:30:00	18.509					
13	09/09/25	17:00:00	18.675					
14	09/09/25	17:30:00	18.343					
15	09/09/25	18:00:00	18.818					
16	09/09/25	18:30:00	19.294					
17	09/09/25	19:00:00	19.484					
18	09/09/25	19:30:00	18.414					
19	09/09/25	20:00:00	18.319					
20	09/09/25	20:30:00	18.152					
21	09/09/25	21:00:00	17.986					
22	09/09/25	21:30:00	18.438					
23	09/09/25	22:00:00	18.604					
24	09/09/25	22:30:00	18.557					
25	09/09/25	23:00:00	18.675					
26	09/09/25	23:30:00	18.485					
27	10/09/25	00:00:00	17.344					
28	10/09/25	00:30:00	17.153					
29	10/09/25	01:00:00	17.225					
30	10/09/25	01:30:00	17.391					
31	10/09/25	02:00:00	17.415					
32	10/09/25	02:30:00	17.463					
33	10/09/25	03:00:00	17.534					
34	10/09/25	03:30:00	17.486					
35	10/09/25	04:00:00	17.439					
36	10/09/25	04:30:00	17.439					
37	10/09/25	05:00:00	17.415					
38	10/09/25	05:30:00	17.439					
39	10/09/25	06:00:00	17.320					
40	10/09/25	06:30:00	17.201					
41	10/09/25	07:00:00	17.034					
42	10/09/25	07:30:00	17.153					
43	10/09/25	08:00:00	17.153					
44	10/09/25	08:30:00	17.772					
45	10/09/25	09:00:00	17.891					
46	10/09/25	09:30:00	17.724					
47	10/09/25	10:00:00	19.555					
48	10/09/25	10:30:00	19.888					
49	10/09/25	11:00:00	19.960					
50	10/09/25	11:30:00	19.555					
51	10/09/25	12:00:00	18.366					
52	10/09/25	12:30:00	19.436					
53	10/09/25	13:00:00	18.224					
54	10/09/25	13:30:00	17.701					
55	10/09/25	14:00:00	17.796					
56	10/09/25	14:30:00	18.319					
57	10/09/25	15:00:00	17.272					
58	10/09/25	15:30:00	17.177					
59	10/09/25	16:00:00	17.106					
60	10/09/25	16:30:00	17.130					
61	10/09/25	17:00:00	17.249					
62	10/09/25	17:30:00	17.344					
63	10/09/25	18:00:00	17.463					
64	10/09/25	18:30:00	17.534					
65	10/09/25	19:00:00	17.677					
66	10/09/25	19:30:00	17.701					
67	10/09/25	20:00:00	16.439					
68	10/09/25	20:30:00	17.463					
69	10/09/25	21:00:00	17.629					
70	10/09/25	21:30:00	16.868					
71	10/09/25	22:00:00	16.844					
72	10/09/25	22:30:00	16.701					
73	10/09/25	23:00:00	16.654					
74	10/09/25	23:30:00	17.177					
75	11/09/25	00:00:00	17.249					
76	11/09/25	00:30:00	17.249					
77	11/09/25	01:00:00	17.130					
78	11/09/25	01:30:00	17.011					
79	11/09/25	02:00:00	16.558					
80	11/09/25	02:30:00	16.773					
81	11/09/25	03:00:00	16.630					
82	11/09/25	03:30:00	16.558					
83	11/09/25	04:00:00	16.534					
84	11/09/25	04:30:00	16.439					
85	11/09/25	05:00:00	15.819					
86	11/09/25	05:30:00	15.819					
87	11/09/25	06:00:00	15.772					
88	11/09/25	06:30:00	15.819					
89	11/09/25	07:00:00	15.891					
90	11/09/25	07:30:00	15.843					
91	11/09/25	08:00:00	15.796					
92	11/09/25	08:30:00	15.724					
93	11/09/25	09:00:00	15.772					
94	11/09/25	09:30:00	15.652					
95	11/09/25	10:00:00	15.748					
96	11/09/25	10:30:00	15.724					
97	11/09/25	11:00:00	15.533					
98	11/09/25	11:30:00	15.605					
99	11/09/25	12:00:00	15.581					
100	11/09/25	12:30:00	15.533					
101	11/09/25	13:00:00	15.485					
102	11/09/25	13:30:00	15.533					
103	11/09/25	14:00:00	15.509					
104	11/09/25	14:30:00	15.509					
105	11/09/25	15:00:00	15.557					
106	11/09/25	15:30:00	15.533					
107	11/09/25	16:00:00	15.533					
108	11/09/25	16:30:00	15.939					
109	11/09/25	17:00:00	15.819					
110	11/09/25	17:30:00	15.461					
111	11/09/25	18:00:00	15.414					
112	11/09/25	18:30:00	15.342					
113	11/09/25	19:00:00	15.366					
114	11/09/25	19:30:00	15.390					
115	11/09/25	20:00:00	15.366					
116	11/09/25	20:30:00	15.342					
117	11/09/25	21:00:00	15.342					
118	11/09/25	21:30:00	15.318					
119	11/09/25	22:00:00	15.342					
120	11/09/25	22:30:00	15.270					
121	11/09/25	23:00:00	15.270					
122	11/09/25	23:30:00	15.175					
123	12/09/25	00:00:00	15.103					
124	12/09/25	00:30:00	15.055					
125	12/09/25	01:00:00	15.103					
126	12/09/25	01:30:00	15.127					
127	12/09/25	02:00:00	15.151					
128	12/09/25	02:30:00	15.247					
129	12/09/25	03:00:00	15.294					
130	12/09/25	03:30:00	15.318					
131	12/09/25	04:00:00	15.366					
