"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 21565459, SEN S/N: 21565459, LBL: Porros_30m_09042025)"	"Acoplador separado (LGR S/N: 21565459, SEN S/N: 21565459)"	"Acoplador adjunto (LGR S/N: 21565459, SEN S/N: 21565459)"	"Host conectado (LGR S/N: 21565459, SEN S/N: 21565459)"	"Parado (LGR S/N: 21565459, SEN S/N: 21565459)"	"Final de archivo (LGR S/N: 21565459, SEN S/N: 21565459)"
1	09/04/25	12:00:00	15.485	Registrado				
2	09/04/25	13:00:00	15.485					
3	09/04/25	14:00:00	15.342					
4	09/04/25	15:00:00	15.342					
5	09/04/25	16:00:00	15.366					
6	09/04/25	17:00:00	15.342					
7	09/04/25	18:00:00	15.366					
8	09/04/25	19:00:00	15.390					
9	09/04/25	20:00:00	15.390					
10	09/04/25	21:00:00	15.366					
11	09/04/25	22:00:00	15.366					
12	09/04/25	23:00:00	15.342					
13	10/04/25	00:00:00	15.342					
14	10/04/25	01:00:00	15.342					
15	10/04/25	02:00:00	15.318					
16	10/04/25	03:00:00	15.390					
17	10/04/25	04:00:00	15.438					
18	10/04/25	05:00:00	15.438					
19	10/04/25	06:00:00	15.390					
20	10/04/25	07:00:00	15.366					
21	10/04/25	08:00:00	15.342					
22	10/04/25	09:00:00	15.342					
23	10/04/25	10:00:00	15.414					
24	10/04/25	11:00:00	15.342					
25	10/04/25	12:00:00	15.414					
26	10/04/25	13:00:00	15.438					
27	10/04/25	14:00:00	15.533					
28	10/04/25	15:00:00	15.557					
29	10/04/25	16:00:00	15.533					
30	10/04/25	17:00:00	15.533					
31	10/04/25	18:00:00	15.485					
32	10/04/25	19:00:00	15.342					
33	10/04/25	20:00:00	15.438					
34	10/04/25	21:00:00	15.390					
35	10/04/25	22:00:00	15.414					
36	10/04/25	23:00:00	15.390					
37	11/04/25	00:00:00	15.318					
38	11/04/25	01:00:00	15.223					
39	11/04/25	02:00:00	15.247					
40	11/04/25	03:00:00	15.247					
41	11/04/25	04:00:00	15.223					
42	11/04/25	05:00:00	15.270					
