"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 21202609, SEN S/N: 21202609, LBL: Porros_20m_09042025)"	"Acoplador separado (LGR S/N: 21202609, SEN S/N: 21202609)"	"Acoplador adjunto (LGR S/N: 21202609, SEN S/N: 21202609)"	"Host conectado (LGR S/N: 21202609, SEN S/N: 21202609)"	"Parado (LGR S/N: 21202609, SEN S/N: 21202609)"	"Final de archivo (LGR S/N: 21202609, SEN S/N: 21202609)"
1	09/04/25	12:00:00	15.819	Registrado				
2	09/04/25	13:00:00	15.867					
3	09/04/25	14:00:00	15.891					
4	09/04/25	15:00:00	16.034					
5	09/04/25	16:00:00	15.939					
6	09/04/25	17:00:00	15.915					
7	09/04/25	18:00:00	15.843					
8	09/04/25	19:00:00	15.796					
9	09/04/25	20:00:00	15.724					
10	09/04/25	21:00:00	15.724					
11	09/04/25	22:00:00	15.748					
12	09/04/25	23:00:00	15.724					
13	10/04/25	00:00:00	15.700					
14	10/04/25	01:00:00	15.748					
15	10/04/25	02:00:00	15.724					
16	10/04/25	03:00:00	15.724					
17	10/04/25	04:00:00	15.748					
18	10/04/25	05:00:00	15.772					
19	10/04/25	06:00:00	15.819					
20	10/04/25	07:00:00	15.819					
21	10/04/25	08:00:00	15.867					
22	10/04/25	09:00:00	15.581					
23	10/04/25	10:00:00	15.748					
24	10/04/25	11:00:00	15.796					
25	10/04/25	12:00:00	15.772					
26	10/04/25	13:00:00	15.819					
27	10/04/25	14:00:00	15.867					
28	10/04/25	15:00:00	15.891					
29	10/04/25	16:00:00	15.843					
30	10/04/25	17:00:00	15.796					
31	10/04/25	18:00:00	15.772					
32	10/04/25	19:00:00	15.748					
33	10/04/25	20:00:00	15.748					
34	10/04/25	21:00:00	15.772					
35	10/04/25	22:00:00	15.772					
36	10/04/25	23:00:00	15.652					
37	11/04/25	00:00:00	15.700					
38	11/04/25	01:00:00	15.581					
39	11/04/25	02:00:00	15.509					
40	11/04/25	03:00:00	15.509					
41	11/04/25	04:00:00	15.485					
42	11/04/25	05:00:00	15.438					
43	11/04/25	06:00:00	15.557					
44	11/04/25	07:00:00	15.533					
45	11/04/25	08:00:00	15.581					
46	11/04/25	09:00:00	15.676					
47	11/04/25	10:00:00	15.724					
48	11/04/25	11:00:00	15.748					
49	11/04/25	12:00:00	15.724					
50	11/04/25	13:00:00	15.700					
51	11/04/25	14:00:00	15.772					
52	11/04/25	15:00:00	15.605					
53	11/04/25	16:00:00	15.557					
54	11/04/25	17:00:00	15.581					
55	11/04/25	18:00:00	15.533					
56	11/04/25	19:00:00	15.509					
57	11/04/25	20:00:00	15.509					
58	11/04/25	21:00:00	15.533					
59	11/04/25	22:00:00	15.557					
60	11/04/25	23:00:00	15.509					
61	12/04/25	00:00:00	15.533					
62	12/04/25	01:00:00	15.509					
63	12/04/25	02:00:00	15.581					
64	12/04/25	03:00:00	15.629					
65	12/04/25	04:00:00	15.724					
66	12/04/25	05:00:00	15.796					
67	12/04/25	06:00:00	15.819					
68	12/04/25	07:00:00	15.819					
69	12/04/25	08:00:00	15.915					
70	12/04/25	09:00:00	15.819					
71	12/04/25	10:00:00	15.867					
72	12/04/25	11:00:00	15.867					
73	12/04/25	12:00:00	16.010					
74	12/04/25	13:00:00	15.986					
75	12/04/25	14:00:00	16.034					
76	12/04/25	15:00:00	16.010					
77	12/04/25	16:00:00	15.915					
78	12/04/25	17:00:00	16.058					
79	12/04/25	18:00:00	16.034					
80	12/04/25	19:00:00	16.034					
81	12/04/25	20:00:00	16.082					
82	12/04/25	21:00:00	16.153					
83	12/04/25	22:00:00	16.153					
84	12/04/25	23:00:00	16.153					
85	13/04/25	00:00:00	16.225					
86	13/04/25	01:00:00	16.106					
87	13/04/25	02:00:00	16.058					
88	13/04/25	03:00:00	15.915					
89	13/04/25	04:00:00	15.939					
90	13/04/25	05:00:00	16.058					
91	13/04/25	06:00:00	16.201					
92	13/04/25	07:00:00	16.249					
93	13/04/25	08:00:00	16.201					
94	13/04/25	09:00:00	16.296					
95	13/04/25	10:00:00	16.392					
96	13/04/25	11:00:00	16.439					
97	13/04/25	12:00:00	16.415					
98	13/04/25	13:00:00	16.463					
99	13/04/25	14:00:00	16.511					
100	13/04/25	15:00:00	16.534					
101	13/04/25	16:00:00	16.415					
102	13/04/25	17:00:00	16.415					
103	13/04/25	18:00:00	16.463					
