"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 21565458, SEN S/N: 21565458, LBL: Porros_15m_14072025)"	"Acoplador separado (LGR S/N: 21565458, SEN S/N: 21565458)"	"Acoplador adjunto (LGR S/N: 21565458, SEN S/N: 21565458)"	"Host conectado (LGR S/N: 21565458, SEN S/N: 21565458)"	"Parado (LGR S/N: 21565458, SEN S/N: 21565458)"	"Final de archivo (LGR S/N: 21565458, SEN S/N: 21565458)"
1	14/07/25	12:00:00	26.891	Registrado				
2	14/07/25	13:00:00	26.720					
3	14/07/25	14:00:00	26.989					
4	14/07/25	15:00:00	26.744					
5	14/07/25	16:00:00	26.965					
6	14/07/25	17:00:00	25.768					
7	14/07/25	18:00:00	25.866					
8	14/07/25	19:00:00	26.134					
9	14/07/25	20:00:00	25.671					
10	14/07/25	21:00:00	25.040					
11	14/07/25	22:00:00	25.355					
12	14/07/25	23:00:00	25.817					
13	15/07/25	00:00:00	24.436					
14	15/07/25	01:00:00	24.895					
15	15/07/25	02:00:00	24.702					
16	15/07/25	03:00:00	25.065					
17	15/07/25	04:00:00	25.186					
18	15/07/25	05:00:00	25.210					
19	15/07/25	06:00:00	25.113					
20	15/07/25	07:00:00	25.234					
21	15/07/25	08:00:00	25.477					
22	15/07/25	09:00:00	25.525					
23	15/07/25	10:00:00	25.939					
24	15/07/25	11:00:00	25.890					
25	15/07/25	12:00:00	26.134					
26	15/07/25	13:00:00	25.841					
27	15/07/25	14:00:00	26.158					
28	15/07/25	15:00:00	26.158					
29	15/07/25	16:00:00	26.109					
30	15/07/25	17:00:00	26.207					
31	15/07/25	18:00:00	26.280					
32	15/07/25	19:00:00	26.426					
33	15/07/25	20:00:00	26.304					
34	15/07/25	21:00:00	26.256					
35	15/07/25	22:00:00	26.231					
36	15/07/25	23:00:00	26.207					
37	16/07/25	00:00:00	26.256					
38	16/07/25	01:00:00	26.182					
39	16/07/25	02:00:00	26.182					
40	16/07/25	03:00:00	25.089					
41	16/07/25	04:00:00	23.641					
42	16/07/25	05:00:00	26.109					
43	16/07/25	06:00:00	25.793					
44	16/07/25	07:00:00	23.881					
45	16/07/25	08:00:00	24.823					
46	16/07/25	09:00:00	25.501					
47	16/07/25	10:00:00	25.939					
48	16/07/25	11:00:00	26.061					
49	16/07/25	12:00:00	26.231					
50	16/07/25	13:00:00	26.182					
51	16/07/25	14:00:00	26.353					
52	16/07/25	15:00:00	24.267					
53	16/07/25	16:00:00	24.823					
54	16/07/25	17:00:00	24.653					
55	16/07/25	18:00:00	24.629					
56	16/07/25	19:00:00	24.146					
57	16/07/25	20:00:00	24.436					
58	16/07/25	21:00:00	25.453					
59	16/07/25	22:00:00	25.671					
60	16/07/25	23:00:00	25.768					
61	17/07/25	00:00:00	25.647					
62	17/07/25	01:00:00	25.720					
63	17/07/25	02:00:00	26.012					
64	17/07/25	03:00:00	26.353					
65	17/07/25	04:00:00	26.426					
66	17/07/25	05:00:00	26.549					
67	17/07/25	06:00:00	26.695					
68	17/07/25	07:00:00	26.744					
69	17/07/25	08:00:00	26.793					
70	17/07/25	09:00:00	26.989					
71	17/07/25	10:00:00	27.136					
72	17/07/25	11:00:00	27.186					
73	17/07/25	12:00:00	27.087					
74	17/07/25	13:00:00	27.186					
75	17/07/25	14:00:00	27.112					
76	17/07/25	15:00:00	25.793					
77	17/07/25	16:00:00	24.750					
78	17/07/25	17:00:00	24.460					
79	17/07/25	18:00:00	24.702					
80	17/07/25	19:00:00	24.823					
81	17/07/25	20:00:00	25.477					
82	17/07/25	21:00:00	26.622					
83	17/07/25	22:00:00	26.842					
84	17/07/25	23:00:00	26.549					
85	18/07/25	00:00:00	26.475					
86	18/07/25	01:00:00	26.622					
87	18/07/25	02:00:00	26.744					
88	18/07/25	03:00:00	26.426					
89	18/07/25	04:00:00	26.451					
90	18/07/25	05:00:00	26.695					
91	18/07/25	06:00:00	26.695					
92	18/07/25	07:00:00	26.989					
93	18/07/25	08:00:00	26.646					
94	18/07/25	09:00:00	26.549					
95	18/07/25	10:00:00	26.695					
96	18/07/25	11:00:00	26.769					
97	18/07/25	12:00:00	26.916					
98	18/07/25	13:00:00	26.989					
99	18/07/25	14:00:00	27.161					
100	18/07/25	15:00:00	27.186					
101	18/07/25	16:00:00	26.965					
102	18/07/25	17:00:00	26.842					
103	18/07/25	18:00:00	26.965					
104	18/07/25	19:00:00	26.989					
105	18/07/25	20:00:00	27.014					
106	18/07/25	21:00:00	27.112					
107	18/07/25	22:00:00	27.210					
108	18/07/25	23:00:00	25.647					
109	19/07/25	00:00:00	26.916					
110	19/07/25	01:00:00	27.186					
111	19/07/25	02:00:00	26.695					
112	19/07/25	03:00:00	26.451					
113	19/07/25	04:00:00	26.402					
114	19/07/25	05:00:00	26.622					
115	19/07/25	06:00:00	26.524					
116	19/07/25	07:00:00	26.500					
117	19/07/25	08:00:00	26.549					
118	19/07/25	09:00:00	26.646					
119	19/07/25	10:00:00	27.087					
120	19/07/25	11:00:00	27.112					
121	19/07/25	12:00:00	27.038					
122	19/07/25	13:00:00	27.063					
123	19/07/25	14:00:00	27.112					
124	19/07/25	15:00:00	27.014					
125	19/07/25	16:00:00	26.744					
126	19/07/25	17:00:00	26.793					
127	19/07/25	18:00:00	26.989					
128	19/07/25	19:00:00	26.965					
129	19/07/25	20:00:00	26.989					
130	19/07/25	21:00:00	26.744					
131	19/07/25	22:00:00	26.940					
132	19/07/25	23:00:00	26.989					
133	20/07/25	00:00:00	26.965					
134	20/07/25	01:00:00	27.014					
135	20/07/25	02:00:00	27.063					
136	20/07/25	03:00:00	27.014					
137	20/07/25	04:00:00	27.014					
138	20/07/25	05:00:00	27.038					
139	20/07/25	06:00:00	26.891					
140	20/07/25	07:00:00	27.210					
141	20/07/25	08:00:00	25.574					
142	20/07/25	09:00:00	25.428					
143	20/07/25	10:00:00	25.598					
144	20/07/25	11:00:00	24.388					
145	20/07/25	12:00:00	24.315					
146	20/07/25	13:00:00	24.581					
147	20/07/25	14:00:00	24.074					
148	20/07/25	15:00:00	24.339					
149	20/07/25	16:00:00	24.267					
150	20/07/25	17:00:00	24.774					
151	20/07/25	18:00:00	27.087					
152	20/07/25	19:00:00	26.940					
153	20/07/25	20:00:00	27.530					
154	20/07/25	21:00:00	27.727					
155	20/07/25	22:00:00	27.727					
156	20/07/25	23:00:00	27.530					
157	21/07/25	00:00:00	27.554					
158	21/07/25	01:00:00	27.579					
159	21/07/25	02:00:00	27.579					
160	21/07/25	03:00:00	27.579					
161	21/07/25	04:00:00	27.284					
162	21/07/25	05:00:00	27.284					
163	21/07/25	06:00:00	27.333					
164	21/07/25	07:00:00	27.456					
165	21/07/25	08:00:00	27.481					
166	21/07/25	09:00:00	27.456					
167	21/07/25	10:00:00	27.333					
168	21/07/25	11:00:00	27.284					
169	21/07/25	12:00:00	27.259					
170	21/07/25	13:00:00	27.456					
171	21/07/25	14:00:00	27.481					
172	21/07/25	15:00:00	27.505					
173	21/07/25	16:00:00	27.456					
174	21/07/25	17:00:00	27.431					
175	21/07/25	18:00:00	27.333					
176	21/07/25	19:00:00	26.109					
