"MAPAMED_ID"	"PARENT_ID"	"WDPA_ID"	"N2000_ID"	"RAMSAR_ID"	"NAME"	"ORIG_NAME"	"DESIG_ENG"	"DESIG"	"DESIG_TYPE"	"DESIG_CAT_ENG"	"SITE_TYPE_ENG"	"PARENT_TYPE_ENG"	"IUCN_CAT_ENG"	"ISO3"	"MSFD_REGION"	"REP_M_AREA"	"GIS_M_AREA"	"REP_AREA"	"GIS_AREA"	"REP_M_PCT"	"GIS_M_PCT"	"STATUS_ENG"	"STATUS_YR"	"GOV_TYPE_ENG"	"MANG_AUTH"	"MANG_PLAN_ENG"	"PLAN_REF"	"GREEN_LIST_ENG"	"WEBSITE"	"GIS_PROVIDER"	"GIS_UPDATE"	"GIS_LOG"
1126	1113	389140			Muntanyes De Begur	Muntanyes De Begur	Plan for Areas of Natural Interest (Spain, Catalonia)	Pla d'Espais d'Interès Natural	National	MPA with a national statute	Marine Protected Area	Secondary	V - Protected landscape/seascape	{ESP}	{MWE}	10.5	9.84	21.85	21.73	48	45	Designated	1992	Not reported	Direcció General de Pesca i Afers Marítims (pour la réservé de pêche) / Direcció General del Medi Natural (Generalitat de Catalunya)	Inexistent		Not listed	https://www.protectedplanet.net/389140	European Environment Agency	2020-06-16	CDDA_v18_29-05-2020
1125			ES0000227		Muntanyes d'Artà	Muntanyes d'Artà	SPA (Birds Directive) + SCI (Habitats Directive)	SPA (Birds Directive) + SCI (Habitats Directive)	Regional	Marine Natura 2000 site	Marine Protected Area	Not reported	Not reported	{ESP}	{MWE}	55.88	55.71	147.05	147.17	38	38	Designated	2006	Not reported	Not reported	Not reported		Not listed	https://natura2000.eea.europa.eu/?query=Natura2000Sites_9883_0,SITECODE,ES0000227	European Environment Agency	2020-06-19	N2K_end2019_21-04-2020
1128	1128				Nord de Menorca	Nord de Menorca	Marine Reserve (Spain, Balearic Islands)	Reserve Marine de les Illes Balears	National	MPA with a national statute	Marine Protected Area	Main	IV - Habitat/species management area	{ESP}	{MWE}	51.19	49.24	51.19	50.89	100	97	Designated	1999	Sub-national ministry or agency	Balearic Islands Government - Department of Environment, Agriculture and Fisheries	Inexistent		Not listed	http://www.caib.es/sites/reservesmarines/ca/descripcio-867/	Govern de les Illes Balears	2020-06-17	Spatial Data Infrastructure of the Balearic Islands
1127		555523850	ES5310112		Nord de Sant Joan	Nord de Sant Joan	Site of Community Importance (Habitats Directive)	Site of Community Importance (Habitats Directive)	Regional	Marine Natura 2000 site	Marine Protected Area	Not reported	Not reported	{ESP}	{MWE}	4.82	4.53	19.28	19.29	25	23	Designated	2006	Not reported	Dirección General de Medio Natural, Educación Ambiental Y Cambio Climático. Gobierno de las Islas Baleares	Not reported		Not listed	https://natura2000.eea.europa.eu/?query=Natura2000Sites_9883_0,SITECODE,ES5310112	European Environment Agency	2020-06-19	N2K_end2019_21-04-2020
1599	1599	20955			Peñones de San Cristóbal	Peñones de San Cristóbal	Natural Monument (Spain)	Monumento Natural	National	MPA with a national statute	Marine Protected Area	Main	III - Natural monument or feature	{ESP}	{MWE}	0.01	0.02	0.02	0.02	42	100	Designated	2001	Not reported	Ministerio de Agricultura y Pesca, Alimentación y Medio Ambiente	Not reported		Not listed	https://www.protectedplanet.net/20955	European Environment Agency	2020-06-16	CDDA_v18_29-05-2020
1129	1129	389150			Pinya De Rosa	Pinya De Rosa	Plan for Areas of Natural Interest (Spain, Catalonia)	Pla d'Espais d'Interès Natural	National	MPA with a national statute	Marine Protected Area	Main	V - Protected landscape/seascape	{ESP}	{MWE}	0.14	0.08	0.86	0.85	16	9	Designated	2006	Sub-national ministry or agency	Territorial Services in Girona. Department of Territory and Sustainability. Generalitat of Catalunya	Inexistent		Not listed	https://www.protectedplanet.net/389150	European Environment Agency	2020-06-16	CDDA_v18_29-05-2020
1130		555593059	ES0000510		Plataforma-talud marinos del Cabo de la Nao	Plataforma-talud marinos del Cabo de la Nao	Special Protection Area (Birds Directive)	Special Protection Area (Birds Directive)	Regional	Marine Natura 2000 site	Marine Protected Area	Not reported	Not reported	{ESP}	{MWE}	2681.1	2678.56	2681.1	2679.54	100	100	Designated	2014	Not reported	Dirección General de Sostenibilidad de la Costa y del Mar - Ministerio de Agricultura, Alimentación y Medio Ambiente	Not reported		Not listed	https://natura2000.eea.europa.eu/?query=Natura2000Sites_9883_0,SITECODE,ES0000510	European Environment Agency	2020-06-19	N2K_end2019_21-04-2020
1131		555523819	ES5310081		Port des Canonge	Port des Canonge	Special Area of Conservation (Habitats Directive)	Special Area of Conservation (Habitats Directive)	Regional	Marine Natura 2000 site	Marine Protected Area	Not reported	Not reported	{ESP}	{MWE}	1.66	1.62	6.15	6.16	27	26	Designated	2006	Not reported	Dirección General de Medio Natural, Educación Ambiental Y Cambio Climático. Gobierno de las Islas Baleares	Fully implemented	http://www.caib.es/eboibfront/es/2015/10315/565417/decreto-49-2015-de-22-de-mayo-por-el-que-se-aprueb?&idEnviament=565417&mode=view&numero=10315	Not listed	https://natura2000.eea.europa.eu/?query=Natura2000Sites_9883_0,SITECODE,ES5310081	European Environment Agency	2020-06-19	N2K_end2019_21-04-2020
1132		555523837	ES5310099		Portocolom	Portocolom	Site of Community Importance (Habitats Directive)	Site of Community Importance (Habitats Directive)	Regional	Marine Natura 2000 site	Marine Protected Area	Not reported	Not reported	{ESP}	{MWE}	0.76	0.59	0.76	0.76	100	78	Designated	2006	Not reported	Dirección General de Medio Natural, Educación Ambiental Y Cambio Climático. Gobierno de las Islas Baleares	Not reported		Not listed	https://natura2000.eea.europa.eu/?query=Natura2000Sites_9883_0,SITECODE,ES5310099	European Environment Agency	2020-06-19	N2K_end2019_21-04-2020
1134		555548913	ES0000060		Prat de Cabanes i Torreblanca	Prat de Cabanes i Torreblanca	Proposed Site of Community Importance (Habitats Directive)	Proposed Site of Community Importance (Habitats Directive)	Regional	Marine Natura 2000 proposed site	Site of conservation interest	Not reported	Not reported	{ESP}	{MWE}	10.86	10.54	19.4	19.38	56	54	Proposed	1997	Not reported	Conselleria d’Infraestructures,Territori i Medi Ambient. Generalitat Valenciana	Not reported		Not listed	https://natura2000.eea.europa.eu/?query=Natura2000Sites_9883_0,SITECODE,ES0000060	European Environment Agency	2020-06-19	N2K_end2019_21-04-2020
1133		555538591	ES0000467		Prat de Cabanes i Torreblanca (ZEPA)	Prat de Cabanes i Torreblanca (ZEPA)	Special Protection Area (Birds Directive)	Special Protection Area (Birds Directive)	Regional	Marine Natura 2000 site	Marine Protected Area	Not reported	Not reported	{ESP}	{MWE}	10.88	10.54	19.43	19.41	56	54	Designated	1990	Not reported	Conselleria d’Infraestructures,Territori i Medi Ambient. Generalitat Valenciana	Not reported		Not listed	https://natura2000.eea.europa.eu/?query=Natura2000Sites_9883_0,SITECODE,ES0000467	European Environment Agency	2020-06-19	N2K_end2019_21-04-2020
1136		555523808	ES5310070		Punta Redona - Arenal d'en Castell	Punta Redona - Arenal d'en Castell	Site of Community Importance (Habitats Directive)	Site of Community Importance (Habitats Directive)	Regional	Marine Natura 2000 site	Marine Protected Area	Not reported	Not reported	{ESP}	{MWE}	9.74	9.04	10.04	10.05	97	90	Designated	2006	Not reported	Dirección General de Medio Natural, Educación Ambiental Y Cambio Climático. Gobierno de las Islas Baleares	Not reported		Not listed	https://natura2000.eea.europa.eu/?query=Natura2000Sites_9883_0,SITECODE,ES5310070	European Environment Agency	2020-06-19	N2K_end2019_21-04-2020
1600	1044	15452			Punta de la Banya	Punta de la Banya	Parcial Nature Reserve (Spain, Catalonia)	Reserve Natural Parcial	National	MPA with a national statute	Marine Protected Area	Zone	IV - Habitat/species management area	{ESP}	{MWE}	0.0	8.12	24.73	24.69	0	33	Designated	1986	Not reported	Ministerio de Agricultura y Pesca, Alimentación y Medio Ambiente	Not reported		Not listed	https://www.protectedplanet.net/15452	European Environment Agency	2020-06-16	CDDA_v18_29-05-2020
1135		555523834	ES5310096		Punta de n'Amer	Punta de n'Amer	Site of Community Importance (Habitats Directive)	Site of Community Importance (Habitats Directive)	Regional	Marine Natura 2000 site	Marine Protected Area	Not reported	Not reported	{ESP}	{MWE}	3.27	3.1	5.27	5.27	62	59	Designated	2006	Not reported	Dirección General de Medio Natural, Educación Ambiental Y Cambio Climático. Gobierno de las Islas Baleares	Not reported		Not listed	https://natura2000.eea.europa.eu/?query=Natura2000Sites_9883_0,SITECODE,ES5310096	European Environment Agency	2020-06-19	N2K_end2019_21-04-2020
1601	1601				Punta de sa Creu	Punta de sa Creu	Marine Reserve (Spain, Balearic Islands)	Reserve Marine de les Illes Balears	National	MPA with a national statute	Marine Protected Area	Main	Not assigned	{ESP}	{MWE}		9.56		9.86		97	Designated	2018	Not reported	Not reported	Not reported		Not listed	http://www.caib.es/sites/reservesmarines/ca/descripcio/	Govern de les Illes Balears	2020-06-17	Spatial Data Infrastructure of the Balearic Islands
