"site","region","longitude","latitude","start_year","initialized"
"Marseille_(Riou-S)","Provence","5.389873","43.171963","1999","1"
"Port Cros_(NW, chanel-buoy)","Provence","6.377994","43.016405","1999","1"
"Medes_(Pota-del-Llop)","N-Catalan","3.225400","42.049700","2002","1"
"Bonifacio-W_(Park-buoy)","Corsica","9.135278","41.385278","2003","1"
"Menorca-N_(Illa-dels-Porros)","Balearic","4.077386","40.095033","2004","1"
"Scandola_(Palazzu-S)","Corsica","8.546350","42.380200","2004","1"
"Banyuls_(Park-buoy)","Gulf_of_Lion","3.170248","42.468100","2006","1"
"Columbretes_(Illa-Grossa)","S-Catalan","0.671092","39.891698","2007","1"
"Mallorca-S_(Cabrera-Imperial)","Balearic","2.960339","39.123721","2007","1"
"Cape-Creus-S_(El-Gat)","N-Catalan","3.261413","42.236976","2007","1"
"Cape-Creus-N_(Portalo)","Gulf_of_Lion","3.286557","42.333460","2007","1"
"Moines","Corsica","8.900833","41.443611","2008","1"
"Toro","Corsica","9.392167","41.506861","2008","1"
"StaresoABC","Corsica","8.7267","42.5806","2008","1"
"Kerkennah-S_22m","Tunisian"," 11.117117"," 34.517283","2008","1"
"Cutin","N-Adriatic","14.493333","44.724722","2009","1"
"Lavezzi","Corsica","9.238611","41.33333","2009","1"
"Kornati_(Mali Obrucan)","Central Adriatic","15.220000","43.836389","2009","1"
"Mejean","Gulf_of_Lion","5.224467","43.328350","2010","1"
"Agde","Gulf_of_Lion","3.538071","43.252280","2010","1"
"Cape-Morgiou","Provence","5.451883","43.201060","2010","1"
"Cassis_(Cassidaigne)","Provence","5.545700","43.145666","2010","1"
"Marseille_(Planier-Veyron)","Provence","5.252500","43.207467","2010","1"
"Marseille_(Planier-Souquet)","Provence","5.234667","43.199467","2010","1"
"NP Mljet","S-Adriatic","17.3881","42.7558","2010","1"
"PP Telašćica, Veli Garmenjak","Central Adriatic","15.1810","43.8657","2010","1"
